lastname,firstname,screenname,user_id
Znanewitz,Dominik,dznanewitz,2442590022
Heilmann,Thomas,thomasheilmann,56806603
Stüwe,Ruppert Fritz Johannes,stuewer,94592987
Stahr,Nina,ninastahr,19530651
Malsack-Winkemann,Birgit Theresia,malsackwinkeman,2368711488
Krumrey,Hanns-Henning Kurt Reimer,henningkrumrey,110374247
Gröhler,Klaus-Dieter,kdgroehler,1274971348943732736
Efler,Michael,michaelefler,377293152
Müller,Rainer Michael,regberlin,875683644668604416
Paus,Elisabeth Maria,lisapaus,569166756
Meyer,Christoph Werner,meyer_fdp,861992050358616064
Luczak,Jan-Marco,jm_luczak,22908417
Kühnert,Kevin,kuehnikev,2764750474
Künast,Renate Elly,renatekuenast,1425265488
Hansel,Frank-Christian,frankhansel,3346541451
Lindemann,Lars,lflindemann,96146500
Schwarzer,Christina,tinaschwarzer,359327259
Schnell,Lucia,schnelllucia,1367841851571662855
Demir,Hakan,hakandemirnk,2942564267
Audretsch,Andreas,anaudretsch,995519538
Goldammer,Marcel,marcelbelmondo,1006825051
Falkenberg,Janine,jafalkenberg,2588916057
Kratzsch,Kevin,kevinkratzsch,58513318
Meiser,Pascal,pascalmeiser,314534724
Kiziltepe,Cansel,canselk,23248102
Bayram,Canan,lieblingxhain,587862375
Riedel,Ann Cathrin,anncathrin87,54244057
Pechstein,Claudia,cpechstein,53780291
Gysi,Gregor,gregorgysi,888289790
Trăsnea,Ana-Maria,amtrasnea,1321384806282911744
Esser,Annkatrin,bunteannka,3102810939
Grouwet,Carl Jean Marie,carlgrouwet,871379114304950276
Czaja,Mario,marioczaja,115666099
Pau,Petra Angelika,petrapaumahe,560467206
Bloch,Enrico,enricobloch,16933435
Thiel-Klein,Anne Renate Helga,annethielklein,1141458470392279040
Braun,Thomas,thomasbraunafd,1387116611191070724
Schmidt,Alice Katherine,alicekatschmidt,959396274834477058
Lötzsch,Gesine,loetzschmdb,24178198
Ingenbleek,Anja Sigrid,anjaingenbleek,1302665317706010624
Dornheim,Laura Sophie,schwarzblond,402220351
Thiel,Lina,noreenthiel,2995614297
Rhie,Ye-One,yeone_rhie,722757627877335040
Willkomm,Katharina,k_willkomm,958634602905718785
Lebien,Roger Henricus Katharina,lebien_roger,3957185777
Krischer,Oliver,oliver_krischer,88630242
Hunko,Andrej Konstantin,andrejhunko,87281380
Moll,Claudia,claudiamollmdb,1070312229139025920
Winterich,Michael,michaelwinteri2,1364680016265687046
Oellers,Wilfried,wilfriedoellers,906847944
Spinrath,Norbert,spinrathnorbert,1701848514
Dorner,Alexander,dorner_ad,742073534021816320
Birmann,Rüdiger,rudigerbirmann,1318221564802981888
Rachel,Thomas Walther,_thomasrachel,1052524172717375488
Nietan,Dietmar Heinrich,dietmarnietan,2280921685
Kochs,Wolfgang Heinrich Johann Helmut,wolfko3,1226592274869637122
Andrä,Christian Thomas,fuerlangerwehe,1198697363734441984
Spielmanns,Aaron Luca,spielmannsaaron,767486041
Westerschulze,Stefan,westerschulze,1287023972576628742
Andres,Dagmar,dagmarandres,126421442
Herbrand,Markus,herbrandmarkus,997138767763750912
Lucassen,Hans-Rüdiger,mdb_lucassen,4875914470
Söhngen,Stefan,soehngens1997,3302876158
Möring,Karsten Hinrich Wilhelm,karstenmoering,1099159964
Abdi,Sanae,_sanaeabdi,200695422
Houben,Reinhard Arnold,houbenreinhard,825069798140833794
Jacobi,Fabian,jacobi_afd,944181149424898048
